support,itemsets
0.45002701242571586,frozenset({'O3_HIGH'})
0.39458400864397625,frozenset({'PM10_HIGH'})
0.38094273365748244,frozenset({'NO2_HIGH'})
0.3511615343057807,frozenset({'PM2.5_HIGH'})
0.24324689357104268,"frozenset({'NO2_HIGH', 'O3_HIGH'})"
0.23794570502431117,"frozenset({'PM10_HIGH', 'O3_HIGH'})"
0.23301593733117235,"frozenset({'NO2_HIGH', 'PM10_HIGH'})"
0.23213803349540788,frozenset({'SO2_HIGH'})
0.21967855213398163,"frozenset({'PM2.5_HIGH', 'O3_HIGH'})"
0.21832793084819016,"frozenset({'NO2_HIGH', 'PM2.5_HIGH'})"
0.20738789843327932,"frozenset({'PM10_HIGH', 'PM2.5_HIGH'})"
0.16561993517017828,"frozenset({'NO2_HIGH', 'PM10_HIGH', 'O3_HIGH'})"
0.15559157212317667,"frozenset({'NO2_HIGH', 'PM2.5_HIGH', 'O3_HIGH'})"
0.1454619124797407,"frozenset({'O3_HIGH', 'SO2_HIGH'})"
0.14005942733657484,"frozenset({'NO2_HIGH', 'PM10_HIGH', 'PM2.5_HIGH'})"
0.13691923284710966,"frozenset({'PM10_HIGH', 'PM2.5_HIGH', 'O3_HIGH'})"
0.13249594813614263,"frozenset({'PM10_HIGH', 'SO2_HIGH'})"
0.1292544570502431,frozenset({'CO_HIGH'})
0.128477849810913,"frozenset({'NO2_HIGH', 'SO2_HIGH'})"
0.1257090761750405,"frozenset({'PM2.5_HIGH', 'SO2_HIGH'})"
0.10663155051323608,"frozenset({'NO2_HIGH', 'PM10_HIGH', 'PM2.5_HIGH', 'O3_HIGH'})"
