antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'NO2_HIGH', 'O3_HIGH'})","frozenset({'PM10_HIGH', 'PM2.5_HIGH'})",0.2434112717934856,0.20746046763076093,0.10687255034464117,0.4390616324264298,2.1163628783864197,1.0,0.056374334071766403,1.4128816607740655,0.6971967993175829,0.31067675081033297,0.29222664023246153,0.47710410611549503
"frozenset({'PM10_HIGH', 'PM2.5_HIGH'})","frozenset({'NO2_HIGH', 'O3_HIGH'})",0.20746046763076093,0.2434112717934856,0.10687255034464117,0.5151465798045602,2.1163628783864192,1.0,0.056374334071766403,1.5604483678831034,0.6655708872066558,0.31067675081033297,0.3591585466191392,0.47710410611549503
"frozenset({'NO2_HIGH', 'PM10_HIGH'})","frozenset({'O3_HIGH', 'PM2.5_HIGH'})",0.23310582511150155,0.21986079199891878,0.10687255034464117,0.4584722423539644,2.08528423001505,1.0,0.055621719016065,1.4406264443253372,0.6786452200553079,0.30879625109831105,0.3058575288972208,0.47228207169181236
"frozenset({'O3_HIGH', 'PM2.5_HIGH'})","frozenset({'NO2_HIGH', 'PM10_HIGH'})",0.21986079199891878,0.23310582511150155,0.10687255034464117,0.4860919010296604,2.08528423001505,1.0,0.055621719016065,1.4922788265548623,0.6671233297065843,0.30879625109831105,0.32988394514137676,0.47228207169181236
"frozenset({'PM10_HIGH', 'O3_HIGH'})","frozenset({'NO2_HIGH', 'PM2.5_HIGH'})",0.2379037707798351,0.2187119881065009,0.10687255034464117,0.4492259622212754,2.0539613128226275,1.0,0.054840143659350166,1.41852730576125,0.6733216790543901,0.3055743406434161,0.29504353145789336,0.4689355517888395
"frozenset({'NO2_HIGH', 'PM2.5_HIGH'})","frozenset({'PM10_HIGH', 'O3_HIGH'})",0.2187119881065009,0.2379037707798351,0.10687255034464117,0.4886451413564035,2.0539613128226275,1.0,0.054840143659350166,1.4903470972030597,0.6567820123284941,0.3055743406434161,0.3290153670398634,0.4689355517888395
"frozenset({'PM10_HIGH', 'PM2.5_HIGH', 'O3_HIGH'})",frozenset({'NO2_HIGH'}),0.1370117583457224,0.38106500878497096,0.10687255034464117,0.7800246609124537,2.046959555272653,1.0,0.054662163446984144,2.8136562661176483,0.5926738486951413,0.25990139687756775,0.6445905592512817,0.5302410944214689
frozenset({'NO2_HIGH'}),"frozenset({'PM10_HIGH', 'PM2.5_HIGH', 'O3_HIGH'})",0.38106500878497096,0.1370117583457224,0.10687255034464117,0.2804575279304841,2.046959555272653,1.0,0.054662163446984144,1.1993569179762098,0.8263720258501258,0.25990139687756775,0.1662198424740851,0.5302410944214689
frozenset({'NO2_HIGH'}),"frozenset({'PM2.5_HIGH', 'O3_HIGH'})",0.38106500878497096,0.21986079199891878,0.15586565752128667,0.4090264231246675,1.8603882002147933,1.0,0.07208440288674801,1.320091521055693,0.7472154331453899,0.3502125721226845,0.2424767646410698,0.558977634491487
"frozenset({'PM2.5_HIGH', 'O3_HIGH'})",frozenset({'NO2_HIGH'}),0.21986079199891878,0.38106500878497096,0.15586565752128667,0.7089288458583065,1.8603882002147933,1.0,0.07208440288674801,2.1264044286357944,0.5928144269720322,0.3502125721226845,0.5297225746272759,0.558977634491487
frozenset({'PM2.5_HIGH'}),"frozenset({'NO2_HIGH', 'PM10_HIGH', 'O3_HIGH'})",0.3513988376807677,0.16579943235572375,0.10687255034464117,0.3041346153846154,1.8343525732470098,1.0,0.04861082252670878,1.198795896573231,0.701276157688295,0.2604578392621871,0.16582964384637194,0.47436198876016994
"frozenset({'NO2_HIGH', 'PM10_HIGH', 'O3_HIGH'})",frozenset({'PM2.5_HIGH'}),0.16579943235572375,0.3513988376807677,0.10687255034464117,0.6445893621357245,1.8343525732470096,1.0,0.04861082252670878,1.8249345776952253,0.5452508049327436,0.2604578392621871,0.45203515116528975,0.47436198876016994
frozenset({'NO2_HIGH'}),"frozenset({'PM10_HIGH', 'O3_HIGH'})",0.38106500878497096,0.2379037707798351,0.16579943235572375,0.43509487497783295,1.8288691833324733,1.0,0.07514262985352817,1.3490694197370932,0.7322482039724219,0.3658663883089771,0.25874830059161796,0.5660064631954922
"frozenset({'PM10_HIGH', 'O3_HIGH'})",frozenset({'NO2_HIGH'}),0.2379037707798351,0.38106500878497096,0.16579943235572375,0.6969180514131516,1.828869183332473,1.0,0.07514262985352817,2.042137428840215,0.594693974744705,0.3658663883089771,0.5103169914632402,0.5660064631954922
"frozenset({'NO2_HIGH', 'O3_HIGH'})",frozenset({'PM2.5_HIGH'}),0.2434112717934856,0.3513988376807677,0.15586565752128667,0.6403387007218213,1.822256171784906,1.0,0.0703312195346584,1.8033665663248748,0.5964002891311637,0.3550919867600647,0.44548156837690267,0.5419481965147568
frozenset({'PM2.5_HIGH'}),"frozenset({'NO2_HIGH', 'O3_HIGH'})",0.3513988376807677,0.2434112717934856,0.15586565752128667,0.4435576923076923,1.822256171784906,1.0,0.0703312195346584,1.3596894372468895,0.695696774027142,0.3550919867600647,0.26453793593865943,0.5419481965147568
