City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket,AQI_Category,AQI_Label
Ahmedabad,2015-01-01,0.0,0.0,0.92,0.050302310814168576,17.15,,0.005232921904328536,27.64,0.5174407325495674,0.0,0.02,0.0,209.0,,Hazardous,1
Ahmedabad,2015-01-02,0.0,0.0,0.97,0.04331741255073024,16.46,,0.005517319833911609,24.55,0.1321538043689132,3.68,5.5,3.77,209.0,,Hazardous,1
Ahmedabad,2015-01-03,0.0,0.0,17.4,0.05328400651555727,29.7,,0.09897047949490927,29.07,0.11911690528848018,6.8,16.4,2.25,209.0,,Hazardous,1
Ahmedabad,2015-01-04,0.0,0.0,1.7,0.05102012644598437,17.97,,0.009669529605824468,18.59,0.13999146393512588,4.43,10.14,1.0,209.0,,Hazardous,1
Ahmedabad,2015-01-05,0.0,0.0,22.1,0.05913696474420917,37.76,,0.1257038848757181,39.33,0.15252395918208977,7.01,18.89,2.78,209.0,,Hazardous,1
Ahmedabad,2015-01-06,0.0,0.0,45.41,0.10623671350873802,81.5,,0.2582901996473465,45.76,0.18046017149730337,5.42,10.83,1.93,209.0,,Hazardous,1
Ahmedabad,2015-01-07,0.0,0.0,112.16,0.11214488832445266,130.77,,0.6379614356407485,32.28,0.12986458697086095,0.0,0.0,0.0,209.0,,Hazardous,1
Ahmedabad,2015-01-08,0.0,0.0,80.87,0.10143287043427845,96.75,,0.4599852113076617,38.54,0.12373414037946688,0.0,0.0,0.0,209.0,,Hazardous,1
Ahmedabad,2015-01-09,0.0,0.0,29.16,0.08558570994726816,48.0,,0.16586087253284795,58.68,0.09991075932177083,0.0,0.0,0.0,209.0,,Hazardous,1
Ahmedabad,2015-01-10,0.0,0.0,29.16,0.019436238646089284,0.0,,0.0,8.29,0.0176541341714197,0.0,0.0,0.0,209.0,,Hazardous,1
Ahmedabad,2015-01-11,0.0,0.0,132.07,0.15405427790508266,24.53,,0.751208691200728,25.03,0.02634540022504171,0.0,0.0,0.0,209.0,,Hazardous,1
Ahmedabad,2015-01-12,0.0,0.0,52.04,0.11228292979210955,90.24,,0.296001365110062,51.84,0.17805455321460442,2.41,0.03,7.88,209.0,,Hazardous,1
Ahmedabad,2015-01-13,0.0,0.0,48.82,0.12202865740868557,87.09,,0.27768613844491213,68.21,0.1364218368059597,9.45,13.35,12.5,209.0,,Hazardous,1
Ahmedabad,2015-01-14,0.0,0.0,19.2,0.07691670577841583,33.05,,0.10920880495989989,52.65,0.08132541807317735,2.16,2.26,5.19,209.0,,Hazardous,1
Ahmedabad,2015-01-15,0.0,0.0,0.6,0.0468236658292151,16.6,,0.0034127751549968715,28.89,0.18480580452411438,0.14,0.04,1.35,209.0,,Hazardous,1
Ahmedabad,2015-01-16,0.0,0.0,1.63,0.05996521355015046,22.86,,0.009271372504408166,38.27,0.1785977573429558,0.35,0.05,2.01,209.0,,Hazardous,1
Ahmedabad,2015-01-17,0.0,0.0,11.44,0.0682753099030949,34.75,,0.06507024628860701,49.5,0.20269274046482752,0.68,0.0,3.27,209.0,,Hazardous,1
Ahmedabad,2015-01-18,0.0,0.0,6.1,0.07114657243035807,29.57,,0.03469654740913486,48.43,0.20754277732510765,0.74,0.21,2.75,209.0,,Hazardous,1
Ahmedabad,2015-01-19,0.0,0.0,2.51,0.0742110930123409,27.45,,0.014276776065070244,50.03,0.19198385907732896,0.26,0.02,2.8,209.0,,Hazardous,1
